# string-xref names: 0x<rva>|<qualified name>|tier|votes|<mangled>
0x002E9470|PathManagerImpl::CancelCurrentPathsAndPause|T2|1|?CancelCurrentPathsAndPause@PathManagerImpl@@QAAXXZ
0x002E9700|PathManagerImpl::ClearInventoryPointersFromCurrentRequests|T2|1|?ClearInventoryPointersFromCurrentRequests@PathManagerImpl@@QAAXPAVInventoryChanges@@@Z
0x002E9830|PathManager::PathManager|T2|1|??0PathManager@@QAA@XZ
0x002E997A|PathManagerImpl::Update|T2|1|?Update@PathManagerImpl@@QAAXXZ
0x002EA780|*>::LockFreeMapInterface::SetAt|T2|1|?SetAt@LockFreeMapInterface@?$LockFreeMap@PBDPAVModel@@@@QAA_NIPBDABQAVModel@@_N@Z
0x002F3280|BGSDistantObjectBlock::BGSDistantObjectBlock|T2|1|??0BGSDistantObjectBlock@@QAA@PAVBGSTerrainNode@@HFF_N@Z
0x002F3632|BGSDistantObjectBlock::BuildBlockFileName|T2|1|?BuildBlockFileName@BGSDistantObjectBlock@@SAXPADPAVTESWorldSpace@@HFF@Z
0x002F36D0|BGSDistantObjectBlock::BuildBlockFileNamePA|T2|1|?BuildBlockFileNamePA@BGSDistantObjectBlock@@SAXPADPAVTESWorldSpace@@HFF@Z
0x002F397D|BGSDistantObjectBlock::BuildStingerBlockFileNameHighPriority|T2|1|?BuildStingerBlockFileNameHighPriority@BGSDistantObjectBlock@@SAXPADPAVTESWorldSpace@@HFF@Z
0x002F4320|BGSDistantObjectBlockLoadTask::Run|T2|1|?Run@BGSDistantObjectBlockLoadTask@@UAAXXZ
0x002F43EF|BGSDistantObjectBlock::SwitchToHigh|T2|1|?SwitchToHigh@BGSDistantObjectBlock@@QAAXPAVTESWorldSpace@@HFF@Z
0x002F45C0|BGSDistantObjectBlock::SwitchToLow|T2|1|?SwitchToLow@BGSDistantObjectBlock@@QAAXPAVTESWorldSpace@@HFF@Z
0x002F5370|BGSDistantObjectBlock::TriggerApocalypse|T2|1|?TriggerApocalypse@BGSDistantObjectBlock@@QAAXPAVTESWorldSpace@@HFF@Z
0x002F55F0|BGSDistantObjectBlockLoadTask::GetDescription|T2|1|?GetDescription@BGSDistantObjectBlockLoadTask@@UAA_NPADI@Z
0x002F58E0|BGSDistantTreeBlock::AllocateStaticData|T2|3|?AllocateStaticData@BGSDistantTreeBlock@@SAXPAVTESWorldSpace@@@Z
0x002F5AF0|BGSDistantTreeBlock::Attach|T2|1|?Attach@BGSDistantTreeBlock@@QAAXXZ
0x002F6520|BGSDistantTreeBlock::AddTree|T1|2|?AddTree@BGSDistantTreeBlock@@QAAXIABUInstanceData@1@@Z
0x002F68CA|BGSDistantTreeBlock::BuildBlockFileName|T2|1|?BuildBlockFileName@BGSDistantTreeBlock@@SAXPADPAVTESWorldSpace@@HFF@Z
0x002F6C01|BGSDistantTreeBlockLoadTask::Finish|T2|1|?Finish@BGSDistantTreeBlockLoadTask@@UAAXXZ
0x002F6CEC|BGSDistantTreeBlock::Read|T2|1|?Read@BGSDistantTreeBlock@@QAAXPAVNiFile@@@Z
0x002F6FB0|BGSDistantTreeBlock::ReadTypes|T2|1|?ReadTypes@BGSDistantTreeBlock@@SAXPAVNiFile@@@Z
0x002F76B0|BGSDistantTreeBlockLoadTask::GetDescription|T2|1|?GetDescription@BGSDistantTreeBlockLoadTask@@UAA_NPADI@Z
