# CommonLib-documented vtable methods: 0xRVA|Class::method
0x00ACBB70|TESLeveledList::GetLevDifferenceMax
0x00ACBB70|TESObject::UnClone3D
0x00ACBB70|TESObjectREFR::MoveHavok
0x00ACBB70|TESObjectREFR::SetDialogueWithPlayer
0x00ACBB70|TESObjectREFR::ShouldSaveAnimationOnUnloading
0x00ACBB70|TESObjectREFR::Unk_69
0x00ACBB70|TESObjectREFR::Unk_83
0x00ACBB70|TESTexture::GetMaxAllowedSize
0x00ACBB70|bhkCharacterController::CheckSupportImpl
0x00ACBB70|bhkCharacterController::GetBodyImpl
0x00ACBB70|bhkCharacterController::GetCollisionFilterInfo
0x00ACBB70|bhkCharacterController::GetLinearVelocityImpl
0x00ACBB70|bhkCharacterController::GetTransformImpl
0x00ACBB70|bhkCharacterController::GetVDBAlpha
0x00ACBB70|bhkCharacterController::GetWorldImpl
0x00ACBB70|bhkCharacterController::SetLinearVelocityImpl
0x00ACBB70|bhkCharacterController::SetPositionImpl
0x00ACBB70|bhkCharacterController::SetTransformImpl
0x00ACBB70|bhkCharacterController::Unk_09
0x00ACBB70|bhkCharacterController::Unk_0A
0x00ACBB70|bhkCharacterController::Unk_0B
0x00ACBB70|bhkCharacterController::Unk_0C
0x00ACBB70|bhkCharacterController::Unk_0E
0x00ACBB70|bhkShape::Unk_33
0x00ACBB70|hkpShape::GetContainer
0x00AF2F40|BSSaveDataSystemUtility::CreateSaveDirectory
0x00AF2F60|BSSaveDataSystemUtility::PrepareFileSavePath
0x00AF2FC0|BSSaveDataSystemUtility::Read
0x00AF2FF0|BSSaveDataSystemUtility::Unk_04
0x00AF3000|BSSaveDataSystemUtility::Unk_05
0x00AF3000|BSSaveDataSystemUtility::Unk_06
0x00AF3000|BSSaveDataSystemUtility::Unk_08
0x00AF3000|BSSaveDataSystemUtility::Unk_09
0x00AF3250|BSSystemUtility::GetAuthenticationInfo
0x00AF3340|BSSystemUtility::Unk_03
0x00AFF2A0|BSFile::Unk_09
0x00AFF300|BSFile::Unk_08
0x00AFF610|BSFile::size
0x00AFF640|BSFile::Unk_0C
0x00AFF7C0|BSFile::Unk_0B
0x00AFF950|BSFile::Unk_12
0x00AFFAF0|BSFile::Unk_0F
0x00AFFBB0|BSFile::Unk_0E
0x00AFFC60|BSFile::Unk_10
0x00AFFC90|BSFile::Unk_0D
0x00B004E0|BSFile::Unk_0A
0x00B00590|BSFile::set_endian_swap
0x00B00650|BSFile::Unk_11
0x00B01350|BSSystemUtility::DoInitialize
0x00B02710|AbstractHeap::CreateMorePages
0x00B606E0|NiInterpolator::GetSequenceInterpolator
0x00C1AD80|NiParticleSystem::Do_UpdateSystem
0x00C1F4E0|NiPSysModifier::Initialize
0x00C24D20|NiPSysData::ResolveAddedParticles
0x00C24EA0|NiPSysData::AddParticle
0x00C31640|NiPSysModifier::HandleReset
0x00C3A5E0|BSMultiBoundNode::QPointWithin
0x00C52450|BSSceneGraph::SetViewDistanceBasedOnFrameRate
0x00C5F5A0|BSMultiBoundNode::CheckBound1
0x00C66C90|bhkWorld::Unk_2C
0x00C66F90|bhkWorld::PickObject
0x00C69220|bhkWorld::GetRTTI
0x00C696D0|bhkWorld::Unk_32
0x00C69960|bhkWorld::Unk_35
0x00C69E10|bhkWorld::Unk_34
0x00C6A810|bhkWorld::InitHavok
0x00C6BBB0|bhkNiCollisionObject::Unk_2E
0x00C6BD60|bhkNiCollisionObject::Unk_30
0x00C6C1D0|bhkNiCollisionObject::Unk_2D
0x00C84E80|bhkShape::Unk_32
0x00C84EC0|bhkShape::Unk_34
0x00C85EC0|bhkRigidBody::GetRotation
0x00C86330|hkpMotion::SetMass
0x00C86380|hkpMotion::SetCenterOfMassInLocal
0x00C863A0|hkpMotion::SetPosition
0x00C863C0|hkpMotion::SetRotation
0x00C863E0|hkpMotion::SetPositionAndRotation
0x00C86400|hkpMotion::SetTransform
0x00C86480|hkpMotion::SetMassInv
0x00C864B0|hkpMotion::SetLinearVelocity
0x00C864D0|hkpMotion::SetAngularVelocity
0x00C864F0|hkpMotion::ApplyLinearImpulse
0x00C86610|hkpMotion::GetMotionStateAndVelocitiesAndDeactivationType
0x00C876A0|bhkMouseSpringAction::Unk_2E
0x00C876A0|bhkSerializable::Unk_2E
0x00C876A0|bhkWorld::Unk_2E
0x00C876D0|bhkMouseSpringAction::Unk_2F
0x00C876D0|bhkSerializable::Unk_2F
0x00C876D0|bhkWorld::Unk_2F
0x00C87710|bhkSerializable::Unk_2B
0x00C87710|bhkWorld::Unk_2B
0x00C8D0F0|bhkRigidBody::SetPosition
0x00C8D130|bhkRigidBody::SetRotation
0x00C8D170|bhkRigidBody::SetPositionAndRotation
0x00C8D1A0|bhkRigidBody::GetCenterOfMassLocal
0x00C8D1D0|bhkRigidBody::GetTransform
0x00C8D200|bhkRigidBody::GetAabbWorldspace
0x00C8D240|bhkRigidBody::Unk_3C
0x00C8D2F0|bhkRigidBody::GetPosition
0x00C8DD10|bhkRigidBody::GetCenterOfMassWorld
0x00C90350|hkReferencedObject::GetClassType
0x00C90360|hkReferencedObject::CalcContentStatistics
0x00C9A420|NiAccumulator::FinishAccumulating
0x00C9E3F0|hkpShape::CalcSizeForSpu
0x00C9E400|hkpShape::CastRayBundleImpl
0x00C9E560|hkpShape::GetMaximumProjection
0x00CABFF0|bhkCharacterController::RotateImpl
0x00CAC250|bhkCharacterController::Unk_12
0x00CACD60|hkpCharacterProxy::ExtractSurfaceConstraintInfo
0x00CAF4D0|hkpCharacterProxy::UpdateManifold
0x00CCAE90|bhkSerializable::MoveToWorld
0x00CD2930|hkpWorldObject::SetShape
0x00D070A0|NiInterpolator::Collapse
0x00D070A0|hkpConstraintOwner::AddCallbackRequest
