# constructor-candidate names: 0x<rva>|<Class::Class>|0x<vtable_va>
0x000733A0|BGSDestructibleObjectForm::BGSDestructibleObjectForm|0x0101A6A0
0x000771F7|?$NiTMap@PAVTESObjectREFR::?$NiTMap@PAVTESObjectREFR|0x0101A8FC
0x00077230|?$NiTMapBase@V?$DFALL@V?$NiTMapItem@PAVTESObjectREFR::?$NiTMapBase@V?$DFALL@V?$NiTMapItem@PAVTESObjectREFR|0x0101A91C
0x000772E0|?$NiTMapBase@V?$DFALL@V?$NiTMapItem@PAVTESObjectREFR::?$NiTMapBase@V?$DFALL@V?$NiTMapItem@PAVTESObjectREFR|0x0101A91C
0x00077410|BGSEquipType::BGSEquipType|0x0101AA14
0x000778A0|BGSIdleCollection::BGSIdleCollection|0x0101AA98
0x000781B0|BGSMessageIcon::BGSMessageIcon|0x0101AB58
0x000781E0|BGSMessageIcon::BGSMessageIcon|0x0101AB58
0x00079510|BGSPickupPutdownSounds::BGSPickupPutdownSounds|0x0101ABD8
0x00079540|BGSPickupPutdownSounds::BGSPickupPutdownSounds|0x0101ABD8
0x000798D0|BGSRepairItemList::BGSRepairItemList|0x0101ADE8
0x00079D3D|BGSTouchSpellForm::BGSTouchSpellForm|0x0101AEF0
0x0007A75C|TESActorBaseData::TESActorBaseData|0x0101B0DC
0x0007AA40|TESActorBaseData::TESActorBaseData|0x0101B0DC
0x0007CCA0|TESAIForm::TESAIForm|0x0101BE98
0x0007CCE0|TESAIForm::TESAIForm|0x0101BE98
0x0007DB12|TESAnimation::TESAnimation|0x0101BF50
0x0007DE40|TESAttackDamageForm::TESAttackDamageForm|0x0101BF68
0x0007E010|TESAttributes::TESAttributes|0x0101BF84
0x0007E340|TESBipedModelForm::TESBipedModelForm|0x0101BFD8
0x0007E44A|TESBipedModelForm::TESBipedModelForm|0x0101BFD8
0x0007F790|TESContainer::TESContainer|0x0101C130
0x00080CE0|TESDescription::TESDescription|0x0101C18C
