# JIP-LN-NVSE Address Mappings
# Format: 0xVA|name|source
0x0101C130|VTABLE_TESContainer|JIP-LN/internal\class_vtbls.h
0x0101C18C|VTABLE_TESDescription|JIP-LN/internal\class_vtbls.h
0x0101C1B0|VTABLE_TESEnchantableForm|JIP-LN/internal\class_vtbls.h
0x0101C794|VTABLE_TESForm|JIP-LN/internal\class_vtbls.h
0x0101CB94|VTABLE_TESHealthForm|JIP-LN/internal\class_vtbls.h
0x0101CBD8|VTABLE_TESImageSpaceModifiableForm|JIP-LN/internal\class_vtbls.h
0x0101CD04|VTABLE_TESLeveledList|JIP-LN/internal\class_vtbls.h
0x0101CF44|VTABLE_TESModel|JIP-LN/internal\class_vtbls.h
0x0101D0D4|VTABLE_TESModelList|JIP-LN/internal\class_vtbls.h
0x0101D124|VTABLE_TESModelTextureSwap|JIP-LN/internal\class_vtbls.h
0x0101D2A4|VTABLE_TESProduceForm|JIP-LN/internal\class_vtbls.h
0x0101D398|VTABLE_TESRaceForm|JIP-LN/internal\class_vtbls.h
0x0101D46C|VTABLE_TESReactionForm|JIP-LN/internal\class_vtbls.h
0x0101D518|VTABLE_TESScriptableForm|JIP-LN/internal\class_vtbls.h
0x0101D628|VTABLE_TESSpellList|JIP-LN/internal\class_vtbls.h
0x0101D7C4|VTABLE_TESTexture|JIP-LN/internal\class_vtbls.h
0x0101D81C|VTABLE_TESValueForm|JIP-LN/internal\class_vtbls.h
0x0101D874|VTABLE_TESWeightForm|JIP-LN/internal\class_vtbls.h
0x0101D8C8|VTABLE_AnimSequenceSingle|JIP-LN/internal\class_vtbls.h
0x0101D8E8|VTABLE_AnimSequenceBase|JIP-LN/internal\class_vtbls.h
0x0101D908|VTABLE_AnimSequenceMultiple|JIP-LN/internal\class_vtbls.h
0x0101DCD8|VTABLE_AnimIdle|JIP-LN/internal\class_vtbls.h
0x0101DCE4|VTABLE_NiRefObject|JIP-LN/internal\class_vtbls.h
0x0101DE3C|VTABLE_BSAnimGroupSequence|JIP-LN/internal\class_vtbls.h
0x0101E07C|VTABLE_NiStencilProperty|JIP-LN/internal\class_vtbls.h
0x0101E2EC|VTABLE_BSCullingProcess|JIP-LN/internal\class_vtbls.h
0x0101E588|VTABLE_hkpAllRayHitCollector|JIP-LN/internal\class_vtbls.h
0x0101E594|VTABLE_hkpRayHitCollector|JIP-LN/internal\class_vtbls.h
0x0101E72C|VTABLE_BGSPrimitive|JIP-LN/internal\class_vtbls.h
0x0101E75C|VTABLE_BGSPrimitivePlane|JIP-LN/internal\class_vtbls.h
0x0101E794|VTABLE_BSOcclusionPlane|JIP-LN/internal\class_vtbls.h
0x0101E82C|VTABLE_BSPortal|JIP-LN/internal\class_vtbls.h
0x0101E8C4|VTABLE_BGSPrimitiveBox|JIP-LN/internal\class_vtbls.h
0x0101E8E4|VTABLE_BSMultiBoundAABB|JIP-LN/internal\class_vtbls.h
0x0101E9A4|VTABLE_BSMultiBoundOBB|JIP-LN/internal\class_vtbls.h
0x0101EA64|VTABLE_BGSPrimitiveSphere|JIP-LN/internal\class_vtbls.h
0x0101EA8C|VTABLE_BSMultiBoundSphere|JIP-LN/internal\class_vtbls.h
0x0101EC68|VTABLE_BGSSceneInfo|JIP-LN/internal\class_vtbls.h
0x0101FC74|VTABLE_BSAnimNoteReceiver|JIP-LN/internal\class_vtbls.h
0x0101FC80|VTABLE_IBSAnimNoteReceiver|JIP-LN/internal\class_vtbls.h
0x0101FFCC|VTABLE_bhkMouseSpringAction|JIP-LN/internal\class_vtbls.h
0x0102009C|VTABLE_bhkUnaryAction|JIP-LN/internal\class_vtbls.h
0x0102016C|VTABLE_bhkAction|JIP-LN/internal\class_vtbls.h
0x0102023C|VTABLE_bhkSerializable|JIP-LN/internal\class_vtbls.h
0x01020634|VTABLE_GridArray|JIP-LN/internal\class_vtbls.h
0x01020698|VTABLE_GridCellArray|JIP-LN/internal\class_vtbls.h
0x01022744|VTABLE_INIPrefSettingCollection|JIP-LN/internal\class_vtbls.h
0x010228C4|VTABLE_BSCustomSplatterExtraData|JIP-LN/internal\class_vtbls.h
0x01022A24|VTABLE_BSSplatterExtraData|JIP-LN/internal\class_vtbls.h
0x010231CC|VTABLE_ImageSpaceEffectParam|JIP-LN/internal\class_vtbls.h
0x01023734|VTABLE_BGSDecalNode|JIP-LN/internal\class_vtbls.h
0x0102397C|VTABLE_TESRegion|JIP-LN/internal\class_vtbls.h
0x01023AC4|VTABLE_TESRegionData|JIP-LN/internal\class_vtbls.h
0x01023B24|VTABLE_TESRegionDataGrass|JIP-LN/internal\class_vtbls.h
0x01023BC8|VTABLE_TESRegionDataImposter|JIP-LN/internal\class_vtbls.h
0x01023C8C|VTABLE_TESRegionDataLandscape|JIP-LN/internal\class_vtbls.h
0x01023CE4|VTABLE_TESRegionDataManager|JIP-LN/internal\class_vtbls.h
0x01023D28|VTABLE_TESRegionDataMap|JIP-LN/internal\class_vtbls.h
0x01023DA4|VTABLE_TESRegionDataSound|JIP-LN/internal\class_vtbls.h
0x01023E18|VTABLE_TESRegionDataWeather|JIP-LN/internal\class_vtbls.h
0x01023EC4|VTABLE_TESRegionGrassObject|JIP-LN/internal\class_vtbls.h
0x01023EE4|VTABLE_TESRegionObjectBase|JIP-LN/internal\class_vtbls.h
0x01024094|VTABLE_TESRegionGrassObjectList|JIP-LN/internal\class_vtbls.h
0x010240A0|VTABLE_TESRegionList|JIP-LN/internal\class_vtbls.h
0x01024214|VTABLE_BGSAddonNode|JIP-LN/internal\class_vtbls.h
0x010243D4|VTABLE_BGSAddonNodeSoundHandleExtra|JIP-LN/internal\class_vtbls.h
0x010245A4|VTABLE_BGSConstructibleObject|JIP-LN/internal\class_vtbls.h
0x01024834|VTABLE_BGSDebris|JIP-LN/internal\class_vtbls.h
0x01024970|VTABLE_BGSPreloadable|JIP-LN/internal\class_vtbls.h
0x01024A94|VTABLE_BGSExplosion|JIP-LN/internal\class_vtbls.h
0x01024CEC|VTABLE_BGSMovableStatic|JIP-LN/internal\class_vtbls.h
0x01024F4C|VTABLE_BGSPlaceableWater|JIP-LN/internal\class_vtbls.h
0x010251AC|VTABLE_BGSProjectile|JIP-LN/internal\class_vtbls.h
0x0102535C|VTABLE_BGSStaticCollection|JIP-LN/internal\class_vtbls.h
0x01025594|VTABLE_BGSTalkingActivator|JIP-LN/internal\class_vtbls.h
0x0102583C|VTABLE_PathingLocation|JIP-LN/internal\class_vtbls.h
0x01025914|VTABLE_BGSTerminal|JIP-LN/internal\class_vtbls.h
0x01026064|VTABLE_TESAmmo|JIP-LN/internal\class_vtbls.h
0x010263DC|VTABLE_TESCasinoChips|JIP-LN/internal\class_vtbls.h
0x01026574|VTABLE_TESCasino|JIP-LN/internal\class_vtbls.h
0x010266E4|VTABLE_TESCombatStyle|JIP-LN/internal\class_vtbls.h
0x0102685C|VTABLE_TESEffectShader|JIP-LN/internal\class_vtbls.h
0x01026BD0|VTABLE_TESFlora|JIP-LN/internal\class_vtbls.h
0x01026D0C|VTABLE_TESFurniture|JIP-LN/internal\class_vtbls.h
0x0102814C|VTABLE_TESGrass|JIP-LN/internal\class_vtbls.h
0x01028444|VTABLE_TESKey|JIP-LN/internal\class_vtbls.h
0x0102864C|VTABLE_TESLevCharacter|JIP-LN/internal\class_vtbls.h
0x0102886C|VTABLE_TESLevCreature|JIP-LN/internal\class_vtbls.h
0x01028A64|VTABLE_TESLevItem|JIP-LN/internal\class_vtbls.h
0x01028C5C|VTABLE_TESLevSpell|JIP-LN/internal\class_vtbls.h
0x01028EE4|VTABLE_TESObjectLIGH|JIP-LN/internal\class_vtbls.h
0x0102960C|VTABLE_TESBoundObject|JIP-LN/internal\class_vtbls.h
0x0102980C|VTABLE_TESBoundAnimObject|JIP-LN/internal\class_vtbls.h
0x01029994|VTABLE_TESBoundTreeObject|JIP-LN/internal\class_vtbls.h
0x01029B1C|VTABLE_TESObject|JIP-LN/internal\class_vtbls.h
0x01029D5C|VTABLE_TESObjectACTI|JIP-LN/internal\class_vtbls.h
0x01029EE0|VTABLE_BGSOpenCloseForm|JIP-LN/internal\class_vtbls.h
0x0102A0A4|VTABLE_TESObjectANIO|JIP-LN/internal\class_vtbls.h
0x0102A31C|VTABLE_TESObjectARMA|JIP-LN/internal\class_vtbls.h
0x0102A62C|VTABLE_TESObjectARMO|JIP-LN/internal\class_vtbls.h
0x0102A9C4|VTABLE_TESObjectBOOK|JIP-LN/internal\class_vtbls.h
0x0102AC0C|VTABLE_TESObjectCLOT|JIP-LN/internal\class_vtbls.h
0x0102AEB4|VTABLE_TESObjectCONT|JIP-LN/internal\class_vtbls.h
0x0102B1FC|VTABLE_TESObjectDOOR|JIP-LN/internal\class_vtbls.h
0x0102B5AC|VTABLE_TESObjectIMOD|JIP-LN/internal\class_vtbls.h
0x0102B844|VTABLE_TESObjectMISC|JIP-LN/internal\class_vtbls.h
0x0102BA2C|VTABLE_TESObjectSTAT|JIP-LN/internal\class_vtbls.h
0x0102BC94|VTABLE_TESObjectTREE|JIP-LN/internal\class_vtbls.h
0x0102BE70|VTABLE_TESModelTree|JIP-LN/internal\class_vtbls.h
0x0102BE94|VTABLE_TESIconTree|JIP-LN/internal\class_vtbls.h
0x0102BEB4|VTABLE_TESTexture1024|JIP-LN/internal\class_vtbls.h
0x0102BF44|VTABLE_NiBillboardNode|JIP-LN/internal\class_vtbls.h
0x0102C04C|VTABLE_BSShaderTextureSet|JIP-LN/internal\class_vtbls.h
0x0102C0EC|VTABLE_BSTextureSet|JIP-LN/internal\class_vtbls.h
0x0102C51C|VTABLE_TESObjectWEAP|JIP-LN/internal\class_vtbls.h
0x0102CBBC|VTABLE_BGSEncounterZone|JIP-LN/internal\class_vtbls.h
0x0102CD94|VTABLE_BGSLightingTemplate|JIP-LN/internal\class_vtbls.h
0x0102CF0C|VTABLE_LoadedReferenceMap|JIP-LN/internal\class_vtbls.h
0x0102D028|VTABLE_ExteriorCellLoaderTask|JIP-LN/internal\class_vtbls.h
